After sweep 1 energy=28102.192890696475  maxlinkdim=20 maxerr=1.10E-01 time=8.725
After sweep 2 energy=22723.43170452039  maxlinkdim=50 maxerr=3.82E-03 time=1.887
After sweep 3 energy=21593.89423371541  maxlinkdim=100 maxerr=2.18E-03 time=2.784
After sweep 4 energy=21529.02610843435  maxlinkdim=100 maxerr=2.39E-03 time=3.135
After sweep 5 energy=16970.673839509327  maxlinkdim=200 maxerr=1.01E-03 time=4.408
After sweep 1 energy=16781.82514454287  maxlinkdim=300 maxerr=2.60E-04 time=5.985
After sweep 1 energy=16747.306182768814  maxlinkdim=800 maxerr=4.85E-06 time=13.801
After sweep 1 energy=16746.694121920664  maxlinkdim=1300 maxerr=4.48E-07 time=24.955
After sweep 1 energy=16746.63992530838  maxlinkdim=1800 maxerr=8.43E-08 time=34.972
After sweep 1 energy=16746.631205160105  maxlinkdim=2300 maxerr=2.13E-08 time=44.157
After sweep 1 energy=16746.630290818743  maxlinkdim=2592 maxerr=9.99E-09 time=49.234
After sweep 1 energy=16746.630282740767  maxlinkdim=2594 maxerr=1.00E-08 time=51.616

